% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	2	39	0	1.85038e-10	390094	0
0.000214285	3	22	0	1.56924e-10	330826	0
0.000214285	3	23	0	8.41326e-11	177367	0
0.000214285	3	50	0	5.30672e-11	111875	0
0.000214285	4	19	0	4.64263e-10	978753	0
0.000214285	4	36	0	1.57454e-11	33194.2	0
0.000214285	4	49	0	7.41152e-10	1.56248e+06	0
0.000214285	6	24	0	2.65586e-10	559905	0
0.000214285	6	26	0	2.84257e-10	599266	0
0.000214285	6	30	0	2.41685e-11	50951.6	0
0.000214285	6	51	0	1.3017e-10	274423	0
0.000214285	6	56	0	5.97759e-10	1.26019e+06	0
0.000214285	7	20	0	2.70856e-11	57101.5	0
0.000214285	7	29	0	1.39196e-10	293450	0
0.000214285	8	48	0	5.81629e-11	122618	0
0.000214285	9	40	0	1.44785e-10	305233	0
0.000214285	10	35	0	1.15098e-10	242649	0
0.000214285	10	42	0	3.71441e-10	783066	0
0.000214285	11	55	0	1.21116e-10	255336	0
0.000214285	12	18	0	3.48116e-10	733892	0
0.000214285	13	31	0	9.88938e-11	208486	0
0.000214285	13	33	0	1.76621e-10	372350	0
0.000214285	13	34	0	1.00307e-09	2.11466e+06	0
0.000214285	13	37	0	1.568e-10	330563	0
0.000214285	13	41	0	9.40432e-10	1.98261e+06	0
0.000214285	16	21	0	2.29555e-11	48394.5	0
0.000214285	16	43	0	9.51642e-11	200624	0
0.000214285	16	46	0	2.21609e-10	467193	0
0.000214285	17	25	0	5.06535e-11	106787	0
0.000214285	17	27	0	1.66218e-11	35041.8	0
0.000214285	17	28	0	3.34315e-11	70479.9	0
0.000214285	17	38	0	7.50853e-11	158294	0
0.000214285	17	45	0	1.29329e-11	27264.9	0
0.000214285	17	47	0	1.9844e-11	41834.7	0
0.000214285	17	52	0	4.26769e-11	89970.9	0
0.000214285	17	53	0	2.15268e-10	453826	0
0.000214285	18	57	0	9.94276e-11	209612	0
0.000214285	19	54	0	1.11058e-10	234130	0
0.000214285	21	17	0	3.47602e-11	73280.9	0
0.000214285	21	32	0	3.53114e-10	744429	0
0.000214285	21	44	0	1.05028e-10	221419	0
0.000214285	22	1	0	3.96469e-10	835830	0
0.000214285	23	2	0	2.34878e-09	4.95166e+06	0
0.000214285	24	3	0	5.83885e-11	123094	0
0.000214285	25	4	0	1.25311e-10	264178	0
0.000214285	26	5	0	7.85841e-12	16567	0
0.000214285	27	6	0	1.8621e-10	392566	0
0.000214285	28	7	0	9.90227e-11	208758	0
0.000214285	29	8	0	5.85538e-10	1.23442e+06	0
0.000214285	30	9	0	1.55632e-09	3.28101e+06	0
0.000214285	31	10	0	9.51998e-11	200699	0
0.000214285	32	11	0	1.17833e-09	2.48414e+06	0
0.000214285	33	12	0	9.2498e-10	1.95003e+06	0
0.000214285	34	13	0	1.11509e-10	235082	0
0.000214285	35	14	0	5.28237e-11	111362	0
0.000214285	36	15	0	1.66554e-10	351127	0
0.000214285	37	16	0	5.17016e-11	108997	0
0.00121429	2	39	0	1.85038e-10	390094	0
0.00121429	3	22	0	1.56924e-10	330826	0
0.00121429	3	23	0	8.41326e-11	177367	0
